Date,Open,High,Low,Close,Volume
03/31/2025,"217.01","225.62","216.23","222.13","65,299,320"
03/28/2025,"221.67","223.81","217.68","217.90","39,818,621"
03/27/2025,"221.39","224.99","220.56","223.85","37,094,770"
03/26/2025,"223.51","225.02","220.47","221.53","34,532,660"
03/25/2025,"220.77","224.10","220.08","223.75","34,493,578"
03/24/2025,"221.00","221.48","218.58","220.73","44,299,480"
03/21/2025,"211.56","218.84","211.28","218.27","94,127,766"
03/20/2025,"213.99","217.49","212.22","214.10","48,862,953"
03/19/2025,"214.22","218.76","213.75","215.24","54,385,391"
03/18/2025,"214.16","215.15","211.49","212.69","42,432,434"
03/17/2025,"213.31","215.22","209.97","214.00","48,073,434"
03/14/2025,"211.25","213.95","209.58","213.49","60,107,578"
03/13/2025,"215.95","216.84","208.42","209.68","61,368,328"
03/12/2025,"220.14","221.75","214.91","216.98","62,547,473"
03/11/2025,"223.81","225.84","217.45","220.84","76,137,406"
03/10/2025,"235.54","236.16","224.22","227.48","72,071,203"
03/07/2025,"235.11","241.37","234.76","239.07","46,273,566"
03/06/2025,"234.44","237.86","233.16","235.33","45,170,422"
03/05/2025,"235.42","236.55","229.23","235.74","47,227,641"
03/04/2025,"237.71","240.07","234.68","235.93","53,798,059"
03/03/2025,"241.79","244.03","236.11","238.03","47,183,992"
02/28/2025,"236.95","242.09","230.20","241.84","56,833,359"
02/27/2025,"239.41","242.46","237.06","237.30","41,153,641"
02/26/2025,"244.33","244.98","239.13","240.36","44,433,559"
02/25/2025,"248.00","250.00","244.91","247.04","48,013,273"
02/24/2025,"244.93","248.86","244.42","247.10","51,326,398"
02/21/2025,"245.95","248.69","245.22","245.55","53,197,434"
02/20/2025,"244.94","246.78","244.29","245.83","32,316,910"
02/19/2025,"244.66","246.01","243.16","244.87","32,204,221"
02/18/2025,"244.15","245.18","241.84","244.47","48,822,488"
02/14/2025,"241.25","245.55","240.99","244.60","40,896,230"
02/13/2025,"236.91","242.34","235.57","241.53","53,614,047"
02/12/2025,"231.20","236.96","230.68","236.87","45,243,289"
02/11/2025,"228.20","235.23","228.13","232.62","53,718,359"
02/10/2025,"229.57","230.59","227.20","227.65","33,115,648"
02/07/2025,"232.60","234.00","227.26","227.63","39,707,219"
02/06/2025,"231.29","233.80","230.43","233.22","29,925,350"
02/05/2025,"228.53","232.67","228.27","232.47","39,664,992"
02/04/2025,"227.25","233.13","226.65","232.80","45,067,301"
02/03/2025,"229.99","231.83","225.70","228.01","73,063,297"
01/31/2025,"247.19","247.19","233.44","236.00","101,075,102"
01/30/2025,"238.67","240.79","237.21","237.59","55,658,281"
01/29/2025,"234.12","239.86","234.01","239.36","45,486,102"
01/28/2025,"230.85","240.19","230.81","238.26","75,707,570"
01/27/2025,"224.02","232.15","223.98","229.86","94,863,422"
01/24/2025,"224.78","225.63","221.41","222.78","54,697,910"
01/23/2025,"224.74","227.03","222.30","223.66","60,234,762"
01/22/2025,"219.79","224.12","219.79","223.83","64,126,500"
01/21/2025,"224.00","224.42","219.38","222.64","98,070,430"
01/17/2025,"232.12","232.29","228.48","229.98","68,488,305"
01/16/2025,"237.35","238.01","228.03","228.26","71,759,047"
01/15/2025,"234.64","238.96","234.43","237.87","39,831,969"
01/14/2025,"234.75","236.12","232.47","233.28","39,435,289"
01/13/2025,"233.53","234.67","229.72","234.40","49,630,727"
01/10/2025,"240.01","240.16","233.00","236.85","61,710,859"
01/08/2025,"241.92","243.71","240.05","242.70","37,628,941"
01/07/2025,"242.98","245.55","241.35","242.21","40,855,961"
01/06/2025,"244.31","247.33","243.20","245.00","45,045,566"
01/03/2025,"243.36","244.18","241.89","243.36","40,244,113"
01/02/2025,"248.93","249.10","241.82","243.85","55,740,727"
