Apple Inc | Price History                                          31-Mar-2026 08:43;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
AAPL.OQ;;;;;;;;;;;;;;;
Interval: Daily;;;;;;;;;;;;;;;
History Period: 01-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VAP: Total;19.032.438.898;;;;;;;;;;;;;;
Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
280.00 - 300.00;67.639.410;0,36%;4;0,40%;;;;;;;;;;;
260.00 - 280.00;789.480.137;4,15%;45;4,49%;;;;;;;;;;;
240.00 - 260.00;1.016.659.594;5,34%;58;5,78%;;;;;;;;;;;
220.00 - 240.00;2.748.371.324;14,44%;160;15,95%;;;;;;;;;;;
200.00 - 220.00;2.119.060.837;11,13%;101;10,07%;;;;;;;;;;;
180.00 - 200.00;3.122.608.854;16,41%;178;17,75%;;;;;;;;;;;
160.00 - 180.00;4.548.712.870;23,90%;241;24,03%;;;;;;;;;;;
140.00 - 160.00;3.533.832.849;18,57%;168;16,75%;;;;;;;;;;;
120.00 - 140.00;1.086.073.023;5,71%;48;4,79%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
AAPL.OQ Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;288,60;03-Dec-2025;Max;146.070.652;20-Sep-2024;Advancing;9.761.299.461;Up;529;Up;+15,33%;09-Apr-2025;Max;33.393.771.882,00;20-Sep-2024
Low;124,18;03-Jan-2023;Min;6.069.987;24-Nov-2023;Declining;9.210.736.814;Down;470;Down;-9,25%;03-Apr-2025;Min;1.152.869.769,00;24-Nov-2023
Avg (Close);191,70;;Avg;18.975.512;;Total;19.032.438.898;Unch;3;Period;+49,37%;03-Jan-2022 - 31-Dec-2025;Avg;3.594.705.054,84;
Avg (High-Low);206,39;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
