Amazon.com Inc | Price History                                          31-Mar-2026 08:44;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
AMZN.O;;;;;;;;;;;;;;;
Interval: Daily;;;;;;;;;;;;;;;
History Period: 01-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VAP: Total;55.251.609.148;;;;;;;;;;;;;;
Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
240.00 - 260.00;567.818.583;1,03%;10;1,00%;;;;;;;;;;;
220.00 - 240.00;5.912.423.123;10,70%;149;14,86%;;;;;;;;;;;
200.00 - 220.00;3.837.440.132;6,95%;88;8,77%;;;;;;;;;;;
180.00 - 200.00;6.049.074.350;10,95%;146;14,56%;;;;;;;;;;;
160.00 - 180.00;5.626.911.261;10,18%;113;11,27%;;;;;;;;;;;
140.00 - 160.00;7.235.347.607;13,10%;121;12,06%;;;;;;;;;;;
120.00 - 140.00;10.201.510.361;18,46%;163;16,25%;;;;;;;;;;;
100.00 - 120.00;9.230.288.000;16,71%;123;12,26%;;;;;;;;;;;
80.00 - 100.00;6.590.795.731;11,93%;90;8,97%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
AMZN.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;258,60;03-Nov-2025;Max;272.661.720;29-Apr-2022;Advancing;28.279.826.719;Up;516;Up;+13,54%;04-Feb-2022;Max;41.151.245.824,00;31-Oct-2025
Low;81,43;06-Jan-2023;Min;11.420.543;24-Dec-2025;Declining;26.753.980.552;Down;483;Down;-14,05%;29-Apr-2022;Min;2.653.396.890,00;24-Dec-2025
Avg (Close);162,45;;Avg;55.086.350;;Total;55.251.609.148;Unch;3;Period;+35,45%;03-Jan-2022 - 31-Dec-2025;Avg;8.396.976.035,00;
Avg (High-Low);170,02;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
AMZN.O History     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;Flow;;;;;;
31-Dec-2025;230,82;-1,71;-0,74%;232,91;230,12;232,99;24.383.749;5.639.394.143,00;339.760.949.910,26;;;;;;
30-Dec-2025;232,53;+0,46;+0,20%;231,21;230,20;232,77;21.910.453;5.078.436.797,00;345.400.344.053,26;;;;;;
29-Dec-2025;232,07;-0,45;-0,19%;231,94;230,77;232,60;19.797.909;4.590.985.794,00;340.321.907.256,26;;;;;;
