NVIDIA Corp | Price History                                          31-Mar-2026 08:39;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O;;;;;;;;;;;;;;;
Interval: Daily;;;;;;;;;;;;;;;
History Period: 01-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VAP: Total;405.049.861.858;;;;;;;;;;;;;;
Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
200.00 - 220.00;1.145.749.650;0,28%;5;0,50%;;;;;;;;;;;
180.00 - 200.00;11.093.234.997;2,74%;63;6,28%;;;;;;;;;;;
160.00 - 180.00;10.010.086.142;2,47%;56;5,58%;;;;;;;;;;;
140.00 - 160.00;11.205.031.329;2,77%;55;5,48%;;;;;;;;;;;
120.00 - 140.00;34.765.169.926;8,58%;129;12,86%;;;;;;;;;;;
100.00 - 120.00;30.433.720.202;7,51%;89;8,87%;;;;;;;;;;;
80.00 - 100.00;28.872.787.792;7,13%;61;6,08%;;;;;;;;;;;
60.00 - 80.00;15.708.264.610;3,88%;29;2,89%;;;;;;;;;;;
40.00 - 60.00;72.490.003.220;17,90%;155;15,45%;;;;;;;;;;;
20.00 - 40.00;85.314.380.340;21,06%;168;16,75%;;;;;;;;;;;
0.00 - 20.00;104.011.433.650;25,68%;193;19,24%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;212,19;29-Oct-2025;Max;1.543.910.670;25-May-2023;Advancing;215.989.990.945;Up;537;Up;+24,37%;25-May-2023;Max;104.021.314.941,00;08-Mar-2024
Low;10,81;13-Oct-2022;Min;65.528.545;24-Dec-2025;Declining;188.278.174.673;Down;464;Down;-16,97%;27-Jan-2025;Min;2.745.657.486,00;25-Nov-2022
Avg (Close);79,21;;Avg;403.838.347;;Total;405.049.861.858;Unch;1;Period;+519,17%;03-Jan-2022 - 31-Dec-2025;Avg;24.433.208.002,04;
Avg (High-Low);111,50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O History     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;Flow;;;;;;
31-Dec-2025;186,50;-1,04;-0,55%;189,57;186,49;190,56;120.100.484;22.593.123.688,00;1.756.667.430.347,28;;;;;;
30-Dec-2025;187,54;-0,68;-0,36%;188,24;186,93;188,99;97.687.274;18.342.700.439,00;1.779.260.554.035,28;;;;;;
29-Dec-2025;188,22;-2,31;-1,21%;187,71;185,91;188,76;120.006.103;22.492.273.220,00;1.797.603.254.474,28;;;;;;
26-Dec-2025;190,53;+1,92;+1,02%;189,92;188,00;192,69;139.740.292;26.732.401.948,00;1.820.095.527.694,28;;;;;;
24-Dec-2025;188,61;-0,60;-0,32%;187,94;186,59;188,91;65.528.545;12.316.823.170,00;1.793.363.125.746,28;;;;;;
23-Dec-2025;189,21;+5,52;+3,01%;182,97;182,90;189,33;174.873.621;32.749.488.473,00;1.805.679.948.916,28;;;;;;
22-Dec-2025;183,69;+2,70;+1,49%;183,92;182,35;184,16;129.064.369;23.670.933.070,00;1.772.930.460.443,28;;;;;;
19-Dec-2025;180,99;+6,85;+3,93%;176,67;176,34;181,45;324.925.927;58.484.553.435,00;1.749.259.527.373,28;;;;;;
18-Dec-2025;174,14;+3,20;+1,87%;174,53;171,82;176,15;176.096.001;30.707.570.171,00;1.690.774.973.938,28;;;;;;
17-Dec-2025;170,94;-6,78;-3,81%;176,10;170,31;176,13;222.775.464;38.343.628.818,00;1.660.067.403.767,28;;;;;;
16-Dec-2025;177,72;+1,43;+0,81%;176,26;174,90;178,49;148.588.098;26.277.743.214,00;1.698.411.032.585,28;;;;;;
15-Dec-2025;176,29;+1,27;+0,73%;177,94;175,03;178,42;164.775.636;29.150.476.605,00;1.672.133.289.371,28;;;;;;
12-Dec-2025;175,02;-5,91;-3,27%;181,11;174,62;182,82;204.274.918;36.225.370.446,00;1.642.982.812.766,28;;;;;;
11-Dec-2025;180,93;-2,85;-1,55%;180,28;176,62;181,32;182.136.641;32.625.478.260,00;1.679.208.183.212,28;;;;;;
10-Dec-2025;183,78;-1,19;-0,64%;184,97;182,04;185,48;162.785.370;29.874.712.387,00;1.711.833.661.472,28;;;;;;
09-Dec-2025;184,97;-0,58;-0,31%;185,56;183,32;185,72;144.719.705;26.750.116.259,00;1.741.708.373.859,28;;;;;;
08-Dec-2025;185,55;+3,14;+1,72%;182,64;182,40;188,00;204.378.106;37.816.387.624,00;1.768.458.490.118,28;;;;;;
