Alphabet Inc | Price History                                          31-Mar-2026 08:42;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
GOOGL.O;;;;;;;;;;;;;;;
Interval: Daily;;;;;;;;;;;;;;;
History Period: 01-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VAP: Total;32.893.779.562;;;;;;;;;;;;;;
Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
300.00 - 350.00;885.467.557;2,69%;25;2,49%;;;;;;;;;;;
250.00 - 300.00;1.375.759.970;4,18%;36;3,59%;;;;;;;;;;;
200.00 - 250.00;1.406.270.962;4,28%;43;4,29%;;;;;;;;;;;
150.00 - 200.00;10.365.255.024;31,51%;340;33,90%;;;;;;;;;;;
100.00 - 150.00;15.211.634.153;46,24%;455;45,36%;;;;;;;;;;;
50.00 - 100.00;3.649.391.896;11,09%;104;10,37%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
GOOGL.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;328,83;25-Nov-2025;Max;127.747.554;07-May-2025;Advancing;17.414.282.355;Up;532;Up;+10,22%;26-Apr-2024;Max;28.663.810.421,00;25-Nov-2025
Low;83,34;03-Nov-2022;Min;9.701.441;25-Nov-2022;Declining;15.407.058.070;Down;468;Down;-9,51%;25-Oct-2023;Min;948.401.169,00;25-Nov-2022
Avg (Close);152,05;;Avg;32.795.393;;Total;32.893.779.562;Unch;2;Period;+115,87%;03-Jan-2022 - 31-Dec-2025;Avg;4.976.879.044,40;
Avg (High-Low);206,09;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
GOOGL.O History     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;Flow;;;;;;
31-Dec-2025;313,00;-0,85;-0,27%;312,85;311,44;314,58;16.377.689;5.130.789.788,00;449.538.821.341,57;;;;;;
30-Dec-2025;313,85;+0,29;+0,09%;312,50;312,46;316,95;17.380.888;5.459.755.011,00;454.669.611.129,57;;;;;;
29-Dec-2025;313,56;+0,05;+0,02%;311,37;310,62;314,02;19.621.777;6.136.900.515,00;449.209.856.118,57;;;;;;
26-Dec-2025;313,51;-0,58;-0,18%;314,48;312,28;315,09;10.899.017;3.417.139.311,00;443.072.955.603,57;;;;;;
24-Dec-2025;314,09;-0,26;-0,08%;314,77;311,92;315,08;10.097.361;3.165.708.516,00;446.490.094.914,57;;;;;;
23-Dec-2025;314,35;+4,57;+1,48%;309,63;309,32;314,94;25.478.670;7.989.736.700,00;449.655.803.430,57;;;;;;
22-Dec-2025;309,78;+2,62;+0,85%;309,88;305,30;310,13;26.429.937;8.158.765.159,00;441.666.066.730,57;;;;;;
19-Dec-2025;307,16;+4,70;+1,55%;301,73;300,97;307,25;59.943.239;18.316.778.889,00;433.507.301.571,57;;;;;;
18-Dec-2025;302,46;+5,74;+1,93%;301,72;299,23;303,96;33.518.048;10.122.720.904,00;415.190.522.682,57;;;;;;
17-Dec-2025;296,72;-9,85;-3,21%;308,01;296,12;308,09;43.930.358;13.121.867.953,00;405.067.801.778,57;;;;;;
16-Dec-2025;306,57;-1,65;-0,54%;304,95;302,59;310,77;30.585.020;9.362.564.112,00;418.189.669.731,57;;;;;;
15-Dec-2025;308,22;-1,07;-0,35%;311,32;304,88;311,42;29.151.889;8.973.688.955,00;427.552.233.843,57;;;;;;
12-Dec-2025;309,29;-3,14;-1,01%;313,70;305,56;314,87;35.940.170;11.121.482.823,00;436.525.922.798,57;;;;;;
11-Dec-2025;312,43;-7,78;-2,43%;320,08;308,60;321,12;42.353.697;13.286.715.683,00;447.647.405.621,57;;;;;;
10-Dec-2025;320,21;+3,13;+0,99%;315,83;314,68;321,31;33.428.923;10.646.597.618,00;460.934.121.304,57;;;;;;
09-Dec-2025;317,08;+3,36;+1,07%;312,37;311,90;317,99;30.194.027;9.528.725.118,00;450.287.523.686,57;;;;;;
08-Dec-2025;313,72;-7,55;-2,35%;320,05;311,22;320,44;33.909.433;10.673.856.211,00;440.758.798.568,57;;;;;;
05-Dec-2025;321,27;+3,65;+1,15%;319,49;319,17;323,16;28.851.705;9.262.466.259,00;451.432.654.779,57;;;;;;
04-Dec-2025;317,62;-2,01;-0,63%;322,23;314,70;322,36;31.240.924;9.907.788.159,00;442.170.188.520,57;;;;;;
03-Dec-2025;319,63;+3,82;+1,21%;315,89;314,10;321,58;41.838.317;13.352.199.116,00;452.077.976.679,57;;;;;;
02-Dec-2025;315,81;+0,92;+0,29%;316,74;313,91;318,38;35.854.744;11.328.795.906,00;438.725.777.563,57;;;;;;
01-Dec-2025;314,89;-5,29;-1,65%;317,70;313,89;319,85;41.182.956;13.021.519.877,00;427.396.981.657,57;;;;;;
28-Nov-2025;320,18;+0,23;+0,07%;323,37;316,79;326,85;26.018.568;8.334.109.781,00;440.418.501.534,57;;;;;;
26-Nov-2025;319,95;-3,49;-1,08%;320,68;316,79;324,50;51.373.361;16.437.291.991,00;432.084.391.753,57;;;;;;
25-Nov-2025;323,44;+4,86;+1,53%;326,21;317,65;328,83;88.632.074;28.663.810.421,00;448.521.683.744,57;;;;;;
24-Nov-2025;318,58;+18,92;+6,31%;311,13;309,60;319,48;85.165.123;26.964.328.682,00;419.857.873.323,57;;;;;;
21-Nov-2025;299,66;+10,21;+3,53%;296,42;293,85;303,92;74.137.697;22.155.302.938,00;392.893.544.641,57;;;;;;
20-Nov-2025;289,45;-3,36;-1,15%;304,54;288,67;306,42;62.025.218;18.405.221.241,00;370.738.241.703,57;;;;;;
19-Nov-2025;292,81;+8,53;+3,00%;287,16;286,63;303,81;68.198.944;20.178.489.107,00;389.143.462.944,57;;;;;;
18-Nov-2025;284,28;-0,74;-0,26%;287,92;278,20;288,80;49.158.743;14.000.129.833,00;368.964.973.837,57;;;;;;
17-Nov-2025;285,02;+8,61;+3,11%;285,78;283,57;293,95;52.670.192;15.162.910.224,00;382.965.103.670,57;;;;;;
14-Nov-2025;276,41;-2,16;-0,78%;271,41;270,70;278,56;31.647.227;8.752.473.008,00;367.802.193.446,57;;;;;;
13-Nov-2025;278,57;-8,14;-2,84%;282,34;277,24;282,84;29.494.040;8.243.586.659,00;376.554.666.454,57;;;;;;
12-Nov-2025;286,71;-4,60;-1,58%;291,68;283,69;292,01;24.829.923;7.117.557.288,00;384.798.253.113,57;;;;;;
11-Nov-2025;291,31;+1,21;+0,42%;287,75;287,32;291,92;19.842.136;5.754.139.432,00;391.915.810.401,57;;;;;;
10-Nov-2025;290,10;+11,27;+4,04%;284,42;282,86;290,80;29.557.309;8.521.891.551,00;386.161.670.969,57;;;;;;
07-Nov-2025;278,83;-5,92;-2,08%;283,21;275,19;283,78;34.479.588;9.595.232.848,00;377.639.779.418,57;;;;;;
06-Nov-2025;284,75;+0,44;+0,15%;285,33;281,14;288,35;37.173.648;10.595.072.969,00;387.235.012.266,57;;;;;;
05-Nov-2025;284,31;+6,77;+2,44%;278,87;277,34;286,42;31.010.302;8.783.577.481,00;376.639.939.297,57;;;;;;
04-Nov-2025;277,54;-6,18;-2,18%;276,75;276,26;281,27;30.078.369;8.363.436.403,00;367.856.361.816,57;;;;;;
03-Nov-2025;283,72;+2,53;+0,90%;282,18;279,80;285,53;29.785.996;8.425.110.631,00;376.219.798.219,57;;;;;;
31-Oct-2025;281,19;-0,29;-0,10%;283,21;277,03;286,00;39.267.945;11.022.568.795,00;367.794.687.588,57;;;;;;
30-Oct-2025;281,48;+6,91;+2,52%;291,59;280,06;291,59;74.875.990;21.409.094.715,00;378.817.256.383,57;;;;;;
29-Oct-2025;274,57;+7,10;+2,65%;267,75;267,67;275,34;43.580.277;11.962.091.653,00;357.408.161.668,57;;;;;;
28-Oct-2025;267,47;-1,80;-0,67%;269,69;266,50;270,73;29.738.564;7.964.220.257,00;345.446.070.015,57;;;;;;
27-Oct-2025;269,27;+9,35;+3,60%;264,82;264,28;270,14;35.235.231;9.420.847.793,00;353.410.290.272,57;;;;;;
24-Oct-2025;259,92;+6,84;+2,70%;256,58;255,32;261,68;28.655.126;7.445.813.403,00;343.989.442.479,57;;;;;;
23-Oct-2025;253,08;+1,39;+0,55%;252,98;251,85;255,04;19.901.425;5.044.766.312,00;336.543.629.076,57;;;;;;
22-Oct-2025;251,69;+1,23;+0,49%;254,37;249,29;256,36;35.029.370;8.852.293.502,00;331.498.862.764,57;;;;;;
21-Oct-2025;250,46;-6,09;-2,37%;254,74;244,15;254,88;47.312.098;11.816.850.002,00;322.646.569.262,57;;;;;;
20-Oct-2025;256,55;+3,25;+1,28%;254,69;254,23;257,33;22.350.155;5.719.194.276,00;334.463.419.264,57;;;;;;
17-Oct-2025;253,30;+1,84;+0,73%;250,76;247,81;254,22;29.671.629;7.474.435.306,00;328.744.224.988,57;;;;;;
16-Oct-2025;251,46;+0,43;+0,17%;251,77;250,10;256,96;27.997.159;7.086.180.423,00;321.269.789.682,57;;;;;;
15-Oct-2025;251,03;+5,58;+2,27%;247,25;245,99;252,11;27.007.690;6.747.594.063,00;314.183.609.259,57;;;;;;
14-Oct-2025;245,45;+1,30;+0,53%;241,23;240,51;247,12;22.111.572;5.411.420.150,00;307.436.015.196,57;;;;;;
13-Oct-2025;244,15;+7,58;+3,20%;240,21;239,71;244,50;24.995.028;6.061.133.896,00;302.024.595.046,57;;;;;;
10-Oct-2025;236,57;-4,96;-2,05%;241,43;235,84;244,09;33.180.323;7.922.843.568,00;295.963.461.150,57;;;;;;
09-Oct-2025;241,53;-3,09;-1,26%;244,47;239,15;244,76;27.892.086;6.731.786.578,00;303.886.304.718,57;;;;;;
08-Oct-2025;244,62;-1,14;-0,46%;244,96;243,82;246,01;21.307.104;5.215.776.905,00;310.618.091.296,57;;;;;;
07-Oct-2025;245,76;-4,67;-1,86%;248,27;245,52;250,44;23.181.285;5.726.848.573,00;315.833.868.201,57;;;;;;
06-Oct-2025;250,43;+5,08;+2,07%;244,78;244,58;251,32;28.894.653;7.175.257.514,00;321.560.716.774,57;;;;;;
03-Oct-2025;245,35;-0,34;-0,14%;244,49;241,66;246,30;30.249.559;7.389.749.081,00;314.385.459.260,57;;;;;;
02-Oct-2025;245,69;+0,79;+0,32%;245,15;242,30;246,81;25.483.298;6.236.592.263,00;321.775.208.341,57;;;;;;
01-Oct-2025;244,90;+1,80;+0,74%;240,75;238,61;246,30;31.658.234;7.693.325.216,00;315.538.616.078,57;;;;;;
30-Sep-2025;243,10;-0,95;-0,39%;242,81;239,25;243,29;34.724.346;8.394.593.499,00;307.845.290.862,57;;;;;;
29-Sep-2025;244,05;-2,49;-1,01%;247,85;242,77;251,15;32.505.777;8.001.609.849,00;316.239.884.361,57;;;;;;
26-Sep-2025;246,54;+0,75;+0,31%;247,07;245,97;249,42;18.503.194;4.569.482.715,00;324.241.494.210,57;;;;;;
25-Sep-2025;245,79;-1,35;-0,55%;244,40;240,74;246,49;31.020.383;7.588.275.356,00;319.672.011.495,57;;;;;;
24-Sep-2025;247,14;-4,52;-1,80%;251,66;246,44;252,35;28.201.003;7.002.776.065,00;327.260.286.851,57;;;;;;
23-Sep-2025;251,66;-0,87;-0,34%;253,04;250,48;254,36;26.628.016;6.711.374.061,00;334.263.062.916,57;;;;;;
22-Sep-2025;252,53;-2,19;-0,86%;254,43;250,30;255,78;32.290.538;8.156.249.288,00;340.974.436.977,57;;;;;;
19-Sep-2025;254,72;+2,69;+1,07%;253,25;251,81;256,00;55.571.424;14.131.016.127,00;349.130.686.265,57;;;;;;
