Microsoft Corp | Price History                                          31-Mar-2026 08:44;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
MSFT.O;;;;;;;;;;;;;;;
Interval: Daily;;;;;;;;;;;;;;;
History Period: 01-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VAP: Total;25.494.797.962;;;;;;;;;;;;;;
Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
500.00 - 550.00;1.814.902.934;7,12%;88;8,77%;;;;;;;;;;;
450.00 - 500.00;1.804.368.962;7,08%;87;8,67%;;;;;;;;;;;
400.00 - 450.00;5.349.189.059;20,98%;258;25,72%;;;;;;;;;;;
350.00 - 400.00;2.948.808.617;11,57%;111;11,07%;;;;;;;;;;;
300.00 - 350.00;4.528.273.476;17,76%;166;16,55%;;;;;;;;;;;
250.00 - 300.00;6.146.656.684;24,11%;198;19,74%;;;;;;;;;;;
200.00 - 250.00;2.902.598.230;11,39%;95;9,47%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
MSFT.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;555,45;31-Jul-2025;Max;90.428.853;26-Jan-2022;Advancing;12.997.196.979;Up;522;Up;+10,13%;09-Apr-2025;Max;34.420.715.038,00;19-Dec-2025
Low;213,43;04-Nov-2022;Min;5.855.880;24-Dec-2025;Declining;12.468.682.970;Down;480;Down;-7,72%;26-Oct-2022;Min;2.278.816.560,00;25-Nov-2022
Avg (Close);366,91;;Avg;25.418.542;;Total;25.494.797.962;Unch;0;Period;+44,47%;03-Jan-2022 - 31-Dec-2025;Avg;8.974.709.444,40;
Avg (High-Low);384,44;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
MSFT.O History     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Turnover - USD;Flow;;;;;;
31-Dec-2025;483,62;-3,86;-0,79%;487,84;483,30;488,14;15.601.554;7.559.337.807,00;311.674.395.951,25;;;;;;
30-Dec-2025;487,48;+0,38;+0,08%;485,93;485,50;489,68;13.944.512;6.803.098.189,00;319.233.733.758,25;;;;;;
29-Dec-2025;487,10;-0,61;-0,13%;484,86;484,18;488,35;10.893.408;5.301.016.844,00;312.430.635.569,25;;;;;;
26-Dec-2025;487,71;-0,31;-0,06%;486,71;485,96;488,12;8.842.175;4.308.912.672,00;317.731.652.413,25;;;;;;
24-Dec-2025;488,02;+1,17;+0,24%;485,68;484,83;489,16;5.855.880;2.856.107.322,00;322.040.565.085,25;;;;;;
23-Dec-2025;486,85;+1,93;+0,40%;484,98;484,74;487,83;14.683.582;7.145.629.225,00;319.184.457.763,25;;;;;;
22-Dec-2025;484,92;-1,00;-0,21%;486,12;482,69;488,73;16.963.019;8.228.897.016,00;312.038.828.538,25;;;;;;
19-Dec-2025;485,92;+1,94;+0,40%;487,36;482,49;487,85;70.836.105;34.420.715.038,00;320.267.725.554,25;;;;;;
18-Dec-2025;483,98;+7,86;+1,65%;478,19;477,89;489,60;28.573.545;13.844.982.732,00;285.847.010.516,25;;;;;;
17-Dec-2025;476,12;-0,27;-0,06%;476,91;475,00;480,00;24.527.176;11.697.351.267,00;272.002.027.784,25;;;;;;
16-Dec-2025;476,39;+1,57;+0,33%;471,91;470,88;477,89;20.705.560;9.839.748.442,00;283.699.379.051,25;;;;;;
15-Dec-2025;474,82;-3,71;-0,78%;480,10;472,52;480,72;23.727.694;11.270.918.896,00;273.859.630.609,25;;;;;;
12-Dec-2025;478,53;-4,94;-1,02%;479,82;476,34;482,45;21.248.102;10.171.127.251,00;285.130.549.505,25;;;;;;
11-Dec-2025;483,47;+4,91;+1,03%;476,63;475,86;486,03;24.669.180;11.894.086.676,00;295.301.676.756,25;;;;;;
10-Dec-2025;478,56;-13,46;-2,74%;484,03;475,08;484,25;35.756.229;17.129.217.825,00;283.407.590.080,25;;;;;;
09-Dec-2025;492,02;+1,00;+0,20%;489,10;488,50;492,12;14.696.078;7.217.115.242,00;300.536.807.905,25;;;;;;
