NASDAQ 100 Index | Price History                                          07-Mar-2026 19:34;;;;;;;;;;
.NDX History     5 Minutes     07-Mar-2025 21:35 - 06-Mar-2026 05:15;;;;;;;;;;
Exchange Date;Exchange Time;Local Date;Local Time;Close;Net;%Chg;Open;Low;High;Volume
05-Mar-2026;05.15;06-Mar-2026;05.15;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;80.864
05-Mar-2026;05.10;06-Mar-2026;05.10;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;107.628
05-Mar-2026;05.05;06-Mar-2026;05.05;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;203.002
05-Mar-2026;05.00;06-Mar-2026;05.00;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;206.793
05-Mar-2026;04.55;06-Mar-2026;04.55;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;159.099
05-Mar-2026;04.50;06-Mar-2026;04.50;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;232.216
05-Mar-2026;04.45;06-Mar-2026;04.45;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;52.843
05-Mar-2026;04.40;06-Mar-2026;04.40;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;111.719
05-Mar-2026;04.35;06-Mar-2026;04.35;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;71.943
05-Mar-2026;04.30;06-Mar-2026;04.30;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;159.775
05-Mar-2026;04.25;06-Mar-2026;04.25;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;160.079
05-Mar-2026;04.20;06-Mar-2026;04.20;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;207.705
05-Mar-2026;04.15;06-Mar-2026;04.15;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;480.021
05-Mar-2026;04.10;06-Mar-2026;04.10;25.020,41;0,00;0,00%;25.020,41;25.020,41;25.020,41;703.195
05-Mar-2026;04.05;06-Mar-2026;04.05;25.020,41;-0,73;-0,00%;25.016,99;25.016,99;25.020,41;146.498.485
05-Mar-2026;04.00;06-Mar-2026;04.00;25.021,15;+25,57;+0,10%;25.003,54;24.985,78;25.023,17;31.148.834
05-Mar-2026;03.55;06-Mar-2026;03.55;24.995,58;+39,54;+0,16%;24.956,04;24.956,04;24.998,26;8.670.663
05-Mar-2026;03.50;06-Mar-2026;03.50;24.956,04;+22,28;+0,09%;24.935,84;24.913,94;24.956,04;3.667.016
05-Mar-2026;03.45;06-Mar-2026;03.45;24.933,75;-11,49;-0,05%;24.946,42;24.919,35;24.947,12;3.117.677
05-Mar-2026;03.40;06-Mar-2026;03.40;24.945,24;-3,60;-0,01%;24.949,70;24.942,54;24.965,11;2.778.126
05-Mar-2026;03.35;06-Mar-2026;03.35;24.948,84;+27,62;+0,11%;24.921,25;24.911,78;24.953,00;2.900.245
05-Mar-2026;03.30;06-Mar-2026;03.30;24.921,22;-8,42;-0,03%;24.932,12;24.921,22;24.957,56;3.057.663
05-Mar-2026;03.25;06-Mar-2026;03.25;24.929,65;+30,04;+0,12%;24.899,24;24.892,15;24.930,56;2.527.832
05-Mar-2026;03.20;06-Mar-2026;03.20;24.899,61;+13,76;+0,06%;24.885,85;24.872,55;24.912,12;2.458.760
05-Mar-2026;03.15;06-Mar-2026;03.15;24.885,85;+17,75;+0,07%;24.868,39;24.867,81;24.899,30;2.546.050
05-Mar-2026;03.10;06-Mar-2026;03.10;24.868,10;+8,33;+0,03%;24.860,46;24.816,52;24.875,46;3.194.664
05-Mar-2026;03.05;06-Mar-2026;03.05;24.859,77;+35,10;+0,14%;24.824,67;24.797,59;24.864,31;2.713.602
05-Mar-2026;03.00;06-Mar-2026;03.00;24.824,67;+17,40;+0,07%;24.805,24;24.794,83;24.831,03;1.927.641
05-Mar-2026;02.55;06-Mar-2026;02.55;24.807,27;-25,34;-0,10%;24.832,91;24.807,27;24.846,78;2.103.914
05-Mar-2026;02.50;06-Mar-2026;02.50;24.832,60;+17,73;+0,07%;24.816,44;24.803,86;24.837,84;1.712.526
05-Mar-2026;02.45;06-Mar-2026;02.45;24.814,87;+24,50;+0,10%;24.790,55;24.788,76;24.814,87;1.672.892
05-Mar-2026;02.40;06-Mar-2026;02.40;24.790,37;+10,97;+0,04%;24.778,64;24.765,12;24.790,64;1.908.955
05-Mar-2026;02.35;06-Mar-2026;02.35;24.779,40;-28,67;-0,12%;24.807,61;24.763,31;24.807,61;2.166.486
05-Mar-2026;02.30;06-Mar-2026;02.30;24.808,07;-13,41;-0,05%;24.821,48;24.785,63;24.829,04;1.977.833
05-Mar-2026;02.25;06-Mar-2026;02.25;24.821,48;-4,44;-0,02%;24.827,09;24.809,60;24.843,50;2.209.277
05-Mar-2026;02.20;06-Mar-2026;02.20;24.825,92;+4,91;+0,02%;24.821,61;24.800,47;24.827,10;1.844.439
05-Mar-2026;02.15;06-Mar-2026;02.15;24.821,01;+11,91;+0,05%;24.808,19;24.792,57;24.824,51;1.768.560
05-Mar-2026;02.10;06-Mar-2026;02.10;24.809,10;+9,81;+0,04%;24.799,29;24.799,29;24.824,90;1.960.979
05-Mar-2026;02.05;06-Mar-2026;02.05;24.799,29;+17,51;+0,07%;24.781,87;24.773,62;24.813,41;2.113.376
05-Mar-2026;02.00;06-Mar-2026;02.00;24.781,78;+31,71;+0,13%;24.749,98;24.749,98;24.797,40;1.805.588
05-Mar-2026;01.55;06-Mar-2026;01.55;24.750,07;-42,80;-0,17%;24.792,87;24.747,16;24.793,16;1.873.553
05-Mar-2026;01.50;06-Mar-2026;01.50;24.792,87;-33,23;-0,13%;24.826,26;24.785,65;24.827,79;2.139.428
05-Mar-2026;01.45;06-Mar-2026;01.45;24.826,10;+41,96;+0,17%;24.784,11;24.781,65;24.834,36;2.021.537
05-Mar-2026;01.40;06-Mar-2026;01.40;24.784,14;+18,60;+0,08%;24.765,54;24.764,43;24.794,08;1.838.175
05-Mar-2026;01.35;06-Mar-2026;01.35;24.765,54;+3,27;+0,01%;24.760,41;24.744,56;24.786,14;2.300.879
05-Mar-2026;01.30;06-Mar-2026;01.30;24.762,27;-40,56;-0,16%;24.802,44;24.753,37;24.802,57;2.160.868
05-Mar-2026;01.25;06-Mar-2026;01.25;24.802,83;+28,30;+0,11%;24.775,15;24.771,85;24.816,15;2.045.761
05-Mar-2026;01.20;06-Mar-2026;01.20;24.774,53;-73,70;-0,30%;24.846,05;24.773,44;24.855,75;2.183.554
05-Mar-2026;01.15;06-Mar-2026;01.15;24.848,23;+14,26;+0,06%;24.834,20;24.816,70;24.853,42;2.248.571
05-Mar-2026;01.10;06-Mar-2026;01.10;24.833,97;+27,71;+0,11%;24.802,85;24.793,05;24.843,13;2.734.427
05-Mar-2026;01.05;06-Mar-2026;01.05;24.806,26;+30,39;+0,12%;24.775,87;24.769,54;24.808,42;2.560.670
05-Mar-2026;01.00;06-Mar-2026;01.00;24.775,87;+0,72;+0,00%;24.776,84;24.757,38;24.785,83;2.750.519
05-Mar-2026;00.55;06-Mar-2026;00.55;24.775,14;-3,09;-0,01%;24.778,78;24.759,37;24.814,12;3.414.547
05-Mar-2026;00.50;06-Mar-2026;00.50;24.778,23;-33,76;-0,14%;24.811,99;24.774,85;24.815,33;3.661.265
05-Mar-2026;00.45;06-Mar-2026;00.45;24.811,99;-37,82;-0,15%;24.851,25;24.805,54;24.864,98;3.349.451
05-Mar-2026;00.40;06-Mar-2026;00.40;24.849,81;+16,42;+0,07%;24.834,20;24.820,99;24.882,26;3.687.879
05-Mar-2026;00.35;06-Mar-2026;00.35;24.833,39;-77,65;-0,31%;24.900,33;24.833,30;24.906,46;3.784.455
05-Mar-2026;00.30;06-Mar-2026;00.30;24.911,05;-31,42;-0,13%;24.941,49;24.911,05;24.955,64;2.571.012
05-Mar-2026;00.25;06-Mar-2026;00.25;24.942,47;+13,63;+0,05%;24.929,36;24.908,48;24.948,72;1.956.294
05-Mar-2026;00.20;06-Mar-2026;00.20;24.928,84;-67,94;-0,27%;24.996,82;24.924,69;24.996,82;2.202.275
05-Mar-2026;00.15;06-Mar-2026;00.15;24.996,78;-18,04;-0,07%;25.014,82;24.977,81;25.016,58;2.333.448
05-Mar-2026;00.10;06-Mar-2026;00.10;25.014,82;-57,47;-0,23%;25.071,70;25.014,82;25.082,31;2.178.688
05-Mar-2026;00.05;06-Mar-2026;00.05;25.072,29;+62,97;+0,25%;25.010,03;25.004,21;25.073,57;2.201.282
05-Mar-2026;00.00;06-Mar-2026;00.00;25.009,32;+18,17;+0,07%;24.991,15;24.991,08;25.013,27;1.821.719
05-Mar-2026;23.55;05-Mar-2026;23.55;24.991,15;-2,00;-0,01%;24.992,80;24.977,32;25.003,90;1.659.051
05-Mar-2026;23.50;05-Mar-2026;23.50;24.993,15;+21,11;+0,08%;24.971,69;24.971,69;25.014,68;2.014.903
05-Mar-2026;23.45;05-Mar-2026;23.45;24.972,04;-12,95;-0,05%;24.984,99;24.960,32;25.000,60;1.937.932
05-Mar-2026;23.40;05-Mar-2026;23.40;24.984,99;+15,40;+0,06%;24.969,96;24.963,42;24.997,08;2.344.692
05-Mar-2026;23.35;05-Mar-2026;23.35;24.969,60;+32,79;+0,13%;24.935,29;24.935,29;24.993,68;2.676.051
05-Mar-2026;23.30;05-Mar-2026;23.30;24.936,80;-18,55;-0,07%;24.953,71;24.935,21;24.970,73;2.369.284
05-Mar-2026;23.25;05-Mar-2026;23.25;24.955,35;+41,85;+0,17%;24.913,57;24.913,57;24.972,50;2.667.786
05-Mar-2026;23.20;05-Mar-2026;23.20;24.913,49;-40,88;-0,16%;24.954,43;24.912,99;24.962,75;2.699.266
05-Mar-2026;23.15;05-Mar-2026;23.15;24.954,38;-13,08;-0,05%;24.966,43;24.928,22;24.976,48;3.348.587
05-Mar-2026;23.10;05-Mar-2026;23.10;24.967,46;-32,75;-0,13%;25.000,21;24.966,94;25.016,71;2.749.071
05-Mar-2026;23.05;05-Mar-2026;23.05;25.000,21;-42,66;-0,17%;25.044,84;24.998,32;25.052,95;2.722.500
05-Mar-2026;23.00;05-Mar-2026;23.00;25.042,87;-7,53;-0,03%;25.049,61;25.019,51;25.052,13;2.755.651
05-Mar-2026;22.55;05-Mar-2026;22.55;25.050,39;+41,92;+0,17%;25.009,20;25.006,71;25.060,50;2.685.372
05-Mar-2026;22.50;05-Mar-2026;22.50;25.008,47;+0,74;+0,00%;25.008,20;25.004,58;25.040,97;2.467.460
05-Mar-2026;22.45;05-Mar-2026;22.45;25.007,74;+0,56;+0,00%;25.007,83;24.990,16;25.032,99;2.817.208
05-Mar-2026;22.40;05-Mar-2026;22.40;25.007,18;+63,11;+0,25%;24.943,09;24.931,76;25.007,61;3.049.155
05-Mar-2026;22.35;05-Mar-2026;22.35;24.944,07;-28,62;-0,11%;24.972,69;24.900,71;24.975,00;4.338.953
05-Mar-2026;22.30;05-Mar-2026;22.30;24.972,69;-21,67;-0,09%;24.994,17;24.960,63;24.995,01;3.533.189
05-Mar-2026;22.25;05-Mar-2026;22.25;24.994,36;-85,68;-0,34%;25.078,60;24.994,00;25.078,60;3.701.332
05-Mar-2026;22.20;05-Mar-2026;22.20;25.080,04;-64,47;-0,26%;25.144,51;25.075,78;25.145,78;3.833.816
05-Mar-2026;22.15;05-Mar-2026;22.15;25.144,51;+30,38;+0,12%;25.115,08;25.101,78;25.145,73;4.273.597
05-Mar-2026;22.10;05-Mar-2026;22.10;25.114,13;-25,03;-0,10%;25.139,35;25.097,82;25.145,67;4.385.638
05-Mar-2026;22.05;05-Mar-2026;22.05;25.139,16;-14,23;-0,06%;25.154,41;25.136,60;25.174,31;5.178.930
05-Mar-2026;22.00;05-Mar-2026;22.00;25.153,39;+45,51;+0,18%;25.107,58;25.092,62;25.153,39;4.363.109
05-Mar-2026;21.55;05-Mar-2026;21.55;25.107,88;+48,69;+0,19%;25.058,59;25.053,12;25.109,88;4.688.373
05-Mar-2026;21.50;05-Mar-2026;21.50;25.059,19;+34,77;+0,14%;25.024,23;25.008,49;25.095,91;5.697.691
05-Mar-2026;21.45;05-Mar-2026;21.45;25.024,43;-34,59;-0,14%;25.059,02;25.023,87;25.072,19;5.302.376
05-Mar-2026;21.40;05-Mar-2026;21.40;25.059,02;-0,71;-0,00%;25.060,82;25.039,54;25.093,28;6.403.606
05-Mar-2026;21.35;05-Mar-2026;21.35;25.059,73;-33,95;-0,14%;24.992,73;24.977,84;25.059,73;23.358.949
04-Mar-2026;05.15;05-Mar-2026;05.15;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;189.798
04-Mar-2026;05.10;05-Mar-2026;05.10;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;175.739
04-Mar-2026;05.05;05-Mar-2026;05.05;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;35.269
04-Mar-2026;05.00;05-Mar-2026;05.00;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;41.107
04-Mar-2026;04.55;05-Mar-2026;04.55;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;33.876
04-Mar-2026;04.50;05-Mar-2026;04.50;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;45.889
04-Mar-2026;04.45;05-Mar-2026;04.45;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;28.740
04-Mar-2026;04.40;05-Mar-2026;04.40;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;97.184
04-Mar-2026;04.35;05-Mar-2026;04.35;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;116.152
04-Mar-2026;04.30;05-Mar-2026;04.30;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;88.555
04-Mar-2026;04.25;05-Mar-2026;04.25;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;167.166
04-Mar-2026;04.20;05-Mar-2026;04.20;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;426.619
04-Mar-2026;04.15;05-Mar-2026;04.15;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;71.883
04-Mar-2026;04.10;05-Mar-2026;04.10;25.093,68;0,00;0,00%;25.093,68;25.093,68;25.093,68;217.299
04-Mar-2026;04.05;05-Mar-2026;04.05;25.093,68;+3,90;+0,02%;25.086,91;25.086,91;25.093,68;151.432.099
04-Mar-2026;04.00;05-Mar-2026;04.00;25.089,77;-19,70;-0,08%;25.108,27;25.089,77;25.112,59;25.792.882
04-Mar-2026;03.55;05-Mar-2026;03.55;25.109,48;-2,61;-0,01%;25.106,61;25.077,67;25.110,66;8.255.415
04-Mar-2026;03.50;05-Mar-2026;03.50;25.112,09;-17,22;-0,07%;25.127,02;25.110,32;25.129,92;3.591.407
04-Mar-2026;03.45;05-Mar-2026;03.45;25.129,31;+16,86;+0,07%;25.112,74;25.109,04;25.131,72;3.135.200
04-Mar-2026;03.40;05-Mar-2026;03.40;25.112,46;+5,27;+0,02%;25.107,37;25.105,96;25.122,82;2.967.085
04-Mar-2026;03.35;05-Mar-2026;03.35;25.107,19;-9,84;-0,04%;25.115,75;25.102,78;25.118,84;2.576.376
04-Mar-2026;03.30;05-Mar-2026;03.30;25.117,03;+23,76;+0,09%;25.093,40;25.093,07;25.118,18;2.117.909
04-Mar-2026;03.25;05-Mar-2026;03.25;25.093,27;-10,82;-0,04%;25.104,09;25.089,98;25.108,75;2.182.192
